# Columns:
# 1: X
# 2: Y
# 3: computed depth
# 4: measured depth
# 5: difference between computed and measured depth
# frame: ./0000_depth.png
121 84 0.912935 0.941 -0.0280646
122 84 0.913284 0.938 -0.0247159
123 84 0.913633 0.937 -0.0233669
124 84 0.913982 0.936 -0.0220176
125 84 0.914332 0.938 -0.0236681
126 84 0.914682 0.939 -0.0243183
127 84 0.915032 0.94 -0.0249683
128 84 0.915382 0.941 -0.0256179
129 84 0.915733 0.943 -0.0272673
130 84 0.916084 0.942 -0.0259165
74 85 0.896874 0.919 -0.0221258
75 85 0.897211 0.924 -0.0267892
76 85 0.897548 0.927 -0.0294524
77 85 0.897885 0.927 -0.0291154
78 85 0.898222 0.926 -0.027778
79 85 0.89856 0.928 -0.0294405
80 85 0.898897 0.93 -0.0311026
81 85 0.899235 0.931 -0.0317646
82 85 0.899574 0.93 -0.0304262
83 85 0.899912 0.928 -0.0280877
84 85 0.900251 0.931 -0.0307488
85 85 0.90059 0.934 -0.0334097
86 85 0.90093 0.932 -0.0310704
87 85 0.901269 0.929 -0.0277308
88 85 0.901609 0.929 -0.0273909
89 85 0.901949 0.928 -0.0260508
90 85 0.90229 0.928 -0.0257104
91 85 0.90263 0.928 -0.0253698
92 85 0.902971 0.928 -0.0250289
93 85 0.903312 0.928 -0.0246877
94 85 0.903654 0.928 -0.0243463
95 85 0.903995 0.931 -0.0270047
96 85 0.904337 0.933 -0.0286627
97 85 0.904679 0.932 -0.0273206
98 85 0.905022 0.931 -0.0259781
99 85 0.905365 0.929 -0.0236354
100 85 0.905708 0.936 -0.0302925
101 85 0.906051 0.934 -0.0279492
102 85 0.906394 0.938 -0.0316058
103 85 0.906738 0.939 -0.032262
104 85 0.907082 0.942 -0.034918
105 85 0.907426 0.944 -0.0365738
106 85 0.907771 0.946 -0.0382292
107 85 0.908116 0.945 -0.0368844
108 85 0.908461 0.945 -0.0365394
109 85 0.908806 0.945 -0.0361941
110 85 0.909151 0.948 -0.0388485
111 85 0.909497 0.942 -0.0325027
112 85 0.909843 0.938 -0.0281566
113 85 0.91019 0.937 -0.0268102
114 85 0.910536 0.936 -0.0254636
115 85 0.910883 0.936 -0.0251167
116 85 0.91123 0.936 -0.0247695
117 85 0.911578 0.939 -0.0274221
118 85 0.911926 0.939 -0.0270744
119 85 0.912274 0.939 -0.0267265
120 85 0.912622 0.94 -0.0273783
121 85 0.91297 0.941 -0.0280298
122 85 0.913319 0.939 -0.0256811
123 85 0.913668 0.937 -0.023332
124 85 0.914017 0.937 -0.0229828
125 85 0.914367 0.94 -0.0256332
126 85 0.914717 0.941 -0.0262834
127 85 0.915067 0.942 -0.0269333
128 85 0.915417 0.943 -0.027583
129 85 0.915768 0.946 -0.0302323
130 85 0.916119 0.945 -0.0288815
131 85 0.91647 0.947 -0.0305303
132 85 0.916821 0.947 -0.0301789
133 85 0.917173 0.948 -0.0308272
134 85 0.917525 0.947 -0.0294752
135 85 0.917877 0.945 -0.027123
136 85 0.91823 0.943 -0.0247705
137 85 0.918582 0.945 -0.0264177
138 85 0.918935 0.947 -0.0280646
139 85 0.919289 0.95 -0.0307113
140 85 0.919642 0.95 -0.0303577
141 85 0.919996 0.951 -0.0310039
142 85 0.92035 0.951 -0.0306497
74 86 0.896908 0.923 -0.0260922
75 86 0.897244 0.926 -0.0287556
76 86 0.897581 0.928 -0.0304188
77 86 0.897918 0.926 -0.0280817
78 86 0.898256 0.927 -0.0287444
